lineage,APC (324)_damaging,ARID1A (8289)_damaging,BRAF (673)_hotspot,CTCF (10664)_damaging,ID3 (3399)_damaging,KEAP1 (9817)_damaging,KRAS (3845)_hotspot,MUC19 (283463)_damaging,NF2 (4771)_damaging,NRAS (4893)_hotspot,PITX1 (5307)_damaging,RB1 (5925)_damaging,RPL22 (6146)_damaging,SMAD4 (4089)_damaging,TP53 (7157)_damaging,TP53 (7157)_hotspot,TTN (7273)_damaging
Biliary Tract,0.03125,0.09375,0.0625,0.0,0.0,0.03125,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.75,0.5625,0.03125
Bladder/Urinary Tract,0.029411764705882353,0.17647058823529413,0.0,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.058823529411764705,0.08823529411764706,0.0,0.20588235294117646,0.0,0.029411764705882353,0.7941176470588235,0.7058823529411765,0.14705882352941177
Bone,0.0,0.02531645569620253,0.012658227848101266,0.0,0.0,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.05063291139240506,0.0,0.0,0.5189873417721519,0.4177215189873418,0.0379746835443038
Bowel,0.7681159420289855,0.13043478260869565,0.2028985507246377,0.07246376811594203,0.0,0.014492753623188406,0.5217391304347826,0.10144927536231885,0.043478260869565216,0.0,0.0,0.043478260869565216,0.057971014492753624,0.15942028985507245,0.8260869565217391,0.6811594202898551,0.2318840579710145
Breast,0.017857142857142856,0.10714285714285714,0.017857142857142856,0.0,0.0,0.0,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.0,0.75,0.5892857142857143,0.03571428571428571
CNS/Brain,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.0,0.0,0.010526315789473684,0.021052631578947368,0.042105263157894736,0.031578947368421054,0.0,0.0,0.12631578947368421,0.0,0.010526315789473684,0.6631578947368421,0.6105263157894737,0.05263157894736842
Cervix,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666
Esophagus/Stomach,0.07894736842105263,0.07894736842105263,0.0,0.013157894736842105,0.0,0.013157894736842105,0.09210526315789473,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.0,0.06578947368421052,0.02631578947368421,0.11842105263157894,0.8421052631578947,0.7763157894736842,0.15789473684210525
Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0
Fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0967741935483871,0.03225806451612903
Head and Neck,0.025,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0625,0.0,0.0,0.025,0.0,0.0,0.1125,0.8875,0.625,0.1
Kidney,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.28,0.2,0.04
Liver,0.0,0.12,0.08,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.08,0.0,0.0,0.76,0.68,0.16
Lung,0.025510204081632654,0.05612244897959184,0.02040816326530612,0.0,0.0,0.061224489795918366,0.20408163265306123,0.09693877551020408,0.025510204081632654,0.03571428571428571,0.01020408163265306,0.3112244897959184,0.00510204081632653,0.02040816326530612,0.8418367346938775,0.6938775510204082,0.22959183673469388
Lymphoid,0.008849557522123894,0.09292035398230089,0.022123893805309734,0.022123893805309734,0.07964601769911504,0.01327433628318584,0.05752212389380531,0.035398230088495575,0.0,0.10176991150442478,0.04424778761061947,0.030973451327433628,0.030973451327433628,0.01327433628318584,0.45132743362831856,0.40707964601769914,0.09292035398230089
Myeloid,0.0,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.0,0.0,0.08450704225352113,0.0,0.0,0.19718309859154928,0.014084507042253521,0.0,0.028169014084507043,0.0,0.5492957746478874,0.43661971830985913,0.056338028169014086
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Ovary/Fallopian Tube,0.04,0.18,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.04,0.02,0.02,0.04,0.02,0.66,0.42,0.12
Pancreas,0.021739130434782608,0.21739130434782608,0.021739130434782608,0.0,0.0,0.0,0.9130434782608695,0.06521739130434782,0.0,0.0,0.0,0.0,0.021739130434782608,0.17391304347826086,0.8695652173913043,0.6521739130434783,0.08695652173913043
Peripheral Nervous System,0.0,0.06976744186046512,0.046511627906976744,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.0,0.0,0.4186046511627907,0.32558139534883723,0.023255813953488372
Pleura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.09375,0.0,0.0,0.0,0.0,0.03125,0.25,0.21875,0.0
Prostate,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727
Skin,0.024390243902439025,0.04878048780487805,0.6666666666666666,0.008130081300813009,0.0,0.0,0.008130081300813009,0.07317073170731707,0.0,0.17886178861788618,0.0,0.06504065040650407,0.008130081300813009,0.032520325203252036,0.3170731707317073,0.21951219512195122,0.3008130081300813
