lineage,target,n,roc_auc,roc_auc_std,pr_auc,balanced_accuracy,positive_rate,n_minority
Lymphoid,wgd,226,0.603825821237586,0.11341283874071408,0.33077279803717496,0.610855614973262,0.23008849557522124,52
Lymphoid,cin,226,0.7057140402130949,0.04815800922417645,0.7061898791980503,0.6407114624505929,0.5,113
Lymphoid,loh,226,0.7098179676865877,0.04774510887110271,0.7257423455551782,0.6455557124035385,0.5,113
Lung,wgd,196,0.49399999999999994,0.1913503304925075,0.902599311944033,0.47714285714285715,0.8928571428571429,21
Lung,cin,196,0.6220135800731776,0.04766072790242718,0.6765661303886994,0.5498367576695748,0.5,98
Lung,loh,196,0.5866188387635757,0.1365055288826519,0.6172312796240893,0.5642773600668338,0.5,98
Skin,wgd,123,0.4645789473684211,0.19272894433213583,0.7712046673402969,0.5759649122807018,0.7886178861788617,26
Skin,cin,123,0.5543935231435231,0.12483009710652666,0.5496744653497204,0.5017565767565768,0.4959349593495935,61
Skin,loh,123,0.6961052836052837,0.05876590500604292,0.6966792110986485,0.6245337995337995,0.4959349593495935,61
CNS/Brain,wgd,95,0.7661904761904761,0.15269359668014956,0.9174302396294877,0.6738095238095239,0.7684210526315789,22
CNS/Brain,cin,95,0.7467929292929292,0.1150175462275656,0.7167497805962718,0.7066919191919192,0.49473684210526314,47
CNS/Brain,loh,95,0.5900000000000001,0.10796947442405845,0.6194077645207676,0.5533333333333333,0.49473684210526314,47
Head and Neck,wgd,80,0.6307692307692309,0.20500797758727513,0.8741935628474089,0.6282051282051283,0.8125,15
Head and Neck,cin,80,0.6531746031746032,0.21134231350502186,0.7363016150516151,0.5498015873015872,0.5,40
Head and Neck,loh,80,0.509375,0.076825123555872,0.5953523559773559,0.5375,0.5,40
Bone,wgd,79,0.689484126984127,0.08951139907505577,0.6893560606060606,0.6470238095238094,0.5569620253164557,35
Bone,cin,79,0.6105406746031745,0.04910938183828799,0.5965013227513227,0.6309523809523809,0.4936708860759494,39
Bone,loh,79,0.4214781746031746,0.14969379609451852,0.49960971568114426,0.39087301587301587,0.4936708860759494,39
Myeloid,wgd,71,0.5345454545454545,0.21211772859693737,0.33966117216117214,0.6036363636363637,0.28169014084507044,20
Myeloid,cin,71,0.7317602040816326,0.1459578872021874,0.7003560526774811,0.7613095238095239,0.49295774647887325,35
Myeloid,loh,71,0.6920124716553289,0.1156245401386281,0.7079743008314436,0.6887301587301586,0.49295774647887325,35
Bowel,wgd,69,0.5696969696969697,0.15249681987983188,0.8492787212787214,0.5103030303030303,0.782608695652174,15
Bowel,cin,69,0.5945578231292517,0.14016742268301952,0.6372450565307708,0.5571428571428572,0.4927536231884058,34
Bowel,loh,69,0.6158163265306122,0.08795657934493858,0.6569906119013262,0.5869047619047618,0.4927536231884058,34
Soft Tissue,wgd,67,0.7213888888888889,0.11016787134434072,0.8026678876678875,0.6983333333333333,0.6417910447761194,24
Soft Tissue,cin,67,0.6169557823129252,0.18344747450222604,0.6336451247165533,0.6373809523809524,0.4925373134328358,33
Soft Tissue,loh,67,0.6094104308390023,0.09017170104754799,0.5957055642769928,0.5968253968253968,0.4925373134328358,33
