lineage,target,n,roc_auc,roc_auc_std,pr_auc,balanced_accuracy,positive_rate,n_minority,roc_auc_lolo,차이
Lymphoid,wgd,226,0.603825821237586,0.11341283874071408,0.33077279803717496,0.610855614973262,0.23008849557522124,52,0.6235079575596818,-0.01968213632209581
Lymphoid,cin,226,0.6593658536585367,0.04013878085017044,0.20005706493336542,0.6226219512195122,0.10176991150442478,23,0.6440508021390374,0.015315051519499301
Lymphoid,loh,226,0.5893170731707318,0.14203942339691894,0.20824017173496978,0.5180487804878049,0.11061946902654868,25,0.6483582089552239,-0.059041135784492105
Lung,wgd,196,0.49399999999999994,0.1913503304925075,0.902599311944033,0.47714285714285715,0.8928571428571429,21,0.4492517006802721,0.04474829931972785
Lung,cin,196,0.4864955357142858,0.05613240169678049,0.8302158965370612,0.4839285714285714,0.8163265306122449,36,0.4362847222222222,0.05021081349206358
Lung,loh,196,0.6114621848739495,0.12291297918424027,0.911327053759748,0.4757983193277311,0.8724489795918368,25,0.6088888888888888,0.0025732959850607307
Skin,wgd,123,0.4645789473684211,0.19272894433213583,0.7712046673402969,0.5759649122807018,0.7886178861788617,26,0.5943695479777954,-0.1297906006093743
Skin,cin,123,0.5751388888888889,0.10211345822407597,0.7071166542286478,0.53875,0.6341463414634146,45,0.6237402015677491,-0.04860131267886025
Skin,loh,123,0.5912150349650349,0.10314562364279796,0.6543919110481335,0.6351981351981353,0.5203252032520326,59,0.5473544973544974,0.04386053761053754
CNS/Brain,wgd,95,0.7661904761904761,0.15269359668014956,0.9174302396294877,0.6738095238095239,0.7684210526315789,22,0.7907845579078455,-0.02459408171736943
CNS/Brain,cin,95,0.7579545454545454,0.11669187547405727,0.8080693469210216,0.7227272727272728,0.5789473684210527,40,0.7407407407407407,0.017213804713804737
CNS/Brain,loh,95,0.6968073593073594,0.14929164815031062,0.5874027398040556,0.6168831168831168,0.4105263157894737,39,0.6698717948717949,0.02693556443556444
Head and Neck,wgd,80,0.6307692307692309,0.20500797758727513,0.8741935628474089,0.6282051282051283,0.8125,15,0.7805128205128206,-0.1497435897435897
Head and Neck,cin,80,0.5491287878787878,0.1229214524912263,0.7409173822810187,0.5153030303030304,0.7,24,0.6167272727272728,-0.06759848484848496
Head and Neck,loh,80,0.4880303030303031,0.06034603309104528,0.6905630329266693,0.47242424242424247,0.6625,27,0.5370370370370371,-0.049006734006734
Bone,wgd,79,0.689484126984127,0.08951139907505577,0.6893560606060606,0.6470238095238094,0.5569620253164557,35,0.6691558441558442,0.020328282828282807
Bone,cin,79,0.572121212121212,0.08423990349400645,0.42323361823361827,0.5548484848484849,0.35443037974683544,28,0.6001400560224089,-0.02801884390119691
Bone,loh,79,0.41517857142857145,0.14532732876389942,0.4919113029827315,0.3767857142857143,0.4936708860759494,39,0.5558408215661104,-0.1406622501375389
Myeloid,wgd,71,0.5345454545454545,0.21211772859693737,0.33966117216117214,0.6036363636363637,0.28169014084507044,20,0.653921568627451,-0.11937611408199644
Bowel,wgd,69,0.5696969696969697,0.15249681987983188,0.8492787212787214,0.5103030303030303,0.782608695652174,15,0.6172839506172839,-0.047586980920314215
Bowel,cin,69,0.5916666666666666,0.20205350104353706,0.7371988042821377,0.5794444444444444,0.6376811594202898,25,0.4991181657848325,0.09254850088183408
Bowel,loh,69,0.6032738095238095,0.14803593567486845,0.6966451603951603,0.5654761904761905,0.5652173913043478,30,0.5854700854700855,0.01780372405372399
Soft Tissue,wgd,67,0.7213888888888889,0.11016787134434072,0.8026678876678875,0.6983333333333333,0.6417910447761194,24,0.7088178294573643,0.01257105943152459
Soft Tissue,cin,67,0.5552777777777778,0.12073910757813905,0.39064102564102565,0.5127777777777778,0.34328358208955223,23,0.500494071146245,0.05478370663153276
Soft Tissue,loh,67,0.5302777777777777,0.11319401840410621,0.3829137529137529,0.5222222222222223,0.31343283582089554,21,0.5160455486542443,0.014232229123533391
