roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.5535714285714286,0.920721094772311,0.5178571428571428,0.7857142857142857,0.25,0.8301886792452831,0.2174729764519564,32,0.875,0.487,0,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1546,1936,Biliary Tract
0.328125,0.9387660686263535,0.40625,0.8125,0.0,0.8666666666666667,0.17510669469790585,34,0.9411764705882353,0.525,1,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1544,1913,Bladder/Urinary Tract
0.675,0.7291030551919224,0.6467532467532467,0.6363636363636364,0.6571428571428571,0.6666666666666666,0.22801087251584864,79,0.5569620253164557,0.494,2,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1499,1917,Bone
0.6864197530864198,0.85379343287459,0.6074074074074074,0.8148148148148148,0.4,0.822429906542056,0.2174414522269016,69,0.782608695652174,0.492,3,random_forest,wgd,lolo,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1509,1431,Bowel
0.8117647058823529,0.9801416438615262,0.692156862745098,0.7843137254901961,0.6,0.8602150537634409,0.22964624403689887,56,0.9107142857142857,0.494,4,random_forest,wgd,lolo,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1522,1889,Breast
0.8574097135740971,0.9513325556274075,0.7951432129514322,0.863013698630137,0.7272727272727273,0.8873239436619719,0.21032841982108186,95,0.7684210526315789,0.487,5,random_forest,wgd,lolo,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1483,1894,CNS/Brain
0.5,0.7194327572105957,0.59375,0.3125,0.875,0.45454545454545453,0.2726862522689452,24,0.6666666666666666,0.517,6,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1554,1910,Cervix
0.7545454545454544,0.9529210431750433,0.7045454545454546,0.9090909090909091,0.5,0.916030534351145,0.17749887975511086,76,0.868421052631579,0.485,7,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1502,1801,Esophagus/Stomach
0.25619834710743805,0.39057402787349316,0.45454545454545453,0.0,0.9090909090909091,0.0,0.3159887097287268,22,0.5,0.499,8,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1556,1950,Eye
0.6810344827586207,0.54,0.7155172413793103,0.5,0.9310344827586207,0.4,0.21346466519634308,31,0.06451612903225806,0.489,9,random_forest,wgd,lolo,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1547,1956,Fibroblast
0.8153846153846154,0.939316596731461,0.6358974358974359,0.9384615384615385,0.3333333333333333,0.8970588235294118,0.16877896877310977,80,0.8125,0.488,10,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1498,1867,Head and Neck
0.6298076923076924,0.648454538589768,0.5689102564102564,0.34615384615384615,0.7916666666666666,0.45,0.2511121580565675,50,0.52,0.508,11,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1528,1906,Kidney
0.6666666666666666,0.9497413180456138,0.4318181818181818,0.8636363636363636,0.0,0.8636363636363636,0.17584482402046792,25,0.88,0.505,12,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1553,1926,Liver
0.46993197278911564,0.8811952123304173,0.5761904761904761,0.9142857142857143,0.23809523809523808,0.9116809116809117,0.18377415564613248,196,0.8928571428571429,0.506,13,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1382,1438,Lung
0.6063218390804598,0.2806405483622192,0.6151635720601238,0.6153846153846154,0.6149425287356322,0.423841059602649,0.23985063068288542,226,0.23008849557522124,0.529,14,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1352,1457,Lymphoid
0.6892156862745098,0.45729427530600575,0.634313725490196,0.7,0.5686274509803921,0.5,0.22574238661358453,71,0.28169014084507044,0.486,15,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1507,1888,Myeloid
0.6907894736842105,0.8647749881358935,0.7017543859649122,0.7368421052631579,0.6666666666666666,0.8,0.22467290461180803,50,0.76,0.496,16,random_forest,wgd,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1528,1839,Ovary/Fallopian Tube
