lineage,n,tp53_rate,tp53_extremity,mean_burden,held_out_lineage,roc_auc
Biliary Tract,32,0.75,0.25,25.65625,Biliary Tract,0.4954545454545455
Bladder/Urinary Tract,34,0.7941176470588235,0.20588235294117652,43.44117647058823,Bladder/Urinary Tract,0.475
Bone,79,0.5189873417721519,0.4810126582278481,16.556962025316455,Bone,0.5815147625160462
Bowel,69,0.8405797101449275,0.1594202898550725,179.85507246376812,Bowel,0.7068376068376069
Breast,56,0.75,0.25,39.714285714285715,Breast,0.821969696969697
CNS/Brain,95,0.6631578947368421,0.33684210526315794,27.021052631578947,CNS/Brain,0.6520146520146519
Cervix,24,0.16666666666666666,0.16666666666666666,56.5,Cervix,0.6714285714285715
Esophagus/Stomach,76,0.881578947368421,0.11842105263157898,54.75,Esophagus/Stomach,0.76036866359447
Eye,22,0.045454545454545456,0.045454545454545456,17.772727272727273,Eye,0.1294117647058823
Fibroblast,31,0.0967741935483871,0.0967741935483871,7.387096774193548,Fibroblast,0.5862068965517242
Head and Neck,80,0.8875,0.11250000000000004,32.7625,Head and Neck,0.5800139762403914
Kidney,50,0.28,0.28,30.0,Kidney,0.6124794745484401
Liver,25,0.8,0.19999999999999996,36.72,Liver,0.4852941176470588
Lung,196,0.8673469387755102,0.13265306122448983,70.23979591836735,Lung,0.5759064327485379
Lymphoid,226,0.4646017699115044,0.4646017699115044,58.517699115044245,Lymphoid,0.6766169154228856
Myeloid,71,0.5633802816901409,0.43661971830985913,30.098591549295776,Myeloid,0.740909090909091
Ovary/Fallopian Tube,50,0.66,0.33999999999999997,61.6,Ovary/Fallopian Tube,0.8214285714285714
Pancreas,46,0.8695652173913043,0.13043478260869568,27.76086956521739,Pancreas,0.553921568627451
Peripheral Nervous System,43,0.4418604651162791,0.4418604651162791,25.88372093023256,Peripheral Nervous System,0.7285714285714285
Pleura,32,0.25,0.25,16.90625,Pleura,0.391025641025641
Skin,123,0.3170731707317073,0.3170731707317073,59.94308943089431,Skin,0.5089947089947089
Soft Tissue,67,0.3880597014925373,0.3880597014925373,22.746268656716417,Soft Tissue,0.6097308488612837
Thyroid,23,0.6956521739130435,0.30434782608695654,31.434782608695652,Thyroid,0.803030303030303
Uterus,28,0.5714285714285714,0.4285714285714286,393.85714285714283,Uterus,0.9387755102040816
